0,远洋山水,石景山,鲁谷,,http://bj.lianjia.com/chengjiao/c1111027382209/
1,新龙城,昌平,回龙观,,http://bj.lianjia.com/chengjiao/c1111027381003/
2,北京新天地,朝阳,管庄,,http://bj.lianjia.com/chengjiao/c1111027375945/
3,荣丰2008,西城,广安门,,http://bj.lianjia.com/chengjiao/c1111027378998/
4,远见名苑,西城,广安门,,http://bj.lianjia.com/chengjiao/c1111027381801/
5,芍药居北里,朝阳,芍药居,,http://bj.lianjia.com/chengjiao/c1111027379657/
6,华贸城,朝阳,北苑,,http://bj.lianjia.com/chengjiao/c1111027375158/
7,朗琴园,西城,广安门,,http://bj.lianjia.com/chengjiao/c1111027378040/
8,北苑家园望春园,朝阳,北苑,,http://bj.lianjia.com/chengjiao/c1111027376257/
9,北苑家园茉藜园,朝阳,北苑,,http://bj.lianjia.com/chengjiao/c1111027376255/
10,后现代城,朝阳,大望路,,http://bj.lianjia.com/chengjiao/c1111027375357/
11,华龙美晟,东城,永定门,,http://bj.lianjia.com/chengjiao/c1111027375142/
12,沿海赛洛城,朝阳,百子湾,,http://bj.lianjia.com/chengjiao/c1111027381719/
13,保利西山林语,海淀,海淀北部新区,,http://bj.lianjia.com/chengjiao/c1111027376008/
14,天通苑东一区,昌平,天通苑,,http://bj.lianjia.com/chengjiao/c1111027380051/
15,保利金泉,朝阳,亚运村,,http://bj.lianjia.com/chengjiao/c1111027375984/
16,橡树湾,海淀,清河,,http://bj.lianjia.com/chengjiao/c1111027380722/
17,阳光丽景,西城,马甸,,http://bj.lianjia.com/chengjiao/c1111027381668/
18,美利山,朝阳,百子湾,,http://bj.lianjia.com/chengjiao/c1111027378350/
19,翠成馨园,朝阳,垡头,,http://bj.lianjia.com/chengjiao/c1111027376354/
20,青年汇佳园,朝阳,朝青,,http://bj.lianjia.com/chengjiao/c1111027378890/
21,天通苑中苑,昌平,天通苑,,http://bj.lianjia.com/chengjiao/c1111027380057/
22,裕中西里,西城,马甸,,http://bj.lianjia.com/chengjiao/c1111027382272/
23,安贞西里,朝阳,安贞,,http://bj.lianjia.com/chengjiao/c1111027375686/
24,保利茉莉公馆,大兴,黄村北,,http://bj.lianjia.com/chengjiao/c1111027375995/
25,国美第一城3号院,朝阳,朝青,,http://bj.lianjia.com/chengjiao/c1111027374654/
26,弘善家园,朝阳,潘家园,,http://bj.lianjia.com/chengjiao/c1111027375273/
27,柏林爱乐二期,朝阳,管庄,,http://bj.lianjia.com/chengjiao/c1111027375966/
28,望京新城,朝阳,望京,,http://bj.lianjia.com/chengjiao/c1111027380317/
29,珠江帝景,朝阳,大望路,,http://bj.lianjia.com/chengjiao/c1111027382490/
30,今典花园,海淀,小西天,,http://bj.lianjia.com/chengjiao/c1111027377061/
31,裕中东里,西城,马甸,,http://bj.lianjia.com/chengjiao/c1111027382251/
32,新景家园东区,东城,崇文门,,http://bj.lianjia.com/chengjiao/c1111027380930/
33,苹果派,朝阳,常营,,http://bj.lianjia.com/chengjiao/c1111027378712/
34,东亚上北中心,昌平,回龙观,,http://bj.lianjia.com/chengjiao/c1111027374040/
35,天通西苑三区,昌平,天通苑,,http://bj.lianjia.com/chengjiao/c1111027380054/
36,流星花园三区,昌平,回龙观,,http://bj.lianjia.com/chengjiao/c1111027378138/
37,太阳公元,朝阳,太阳宫,,http://bj.lianjia.com/chengjiao/c1111027380101/
38,西豪逸景,西城,广安门,,http://bj.lianjia.com/chengjiao/c1111027380894/
